"latitude";"longitude";"bio4_temp_";"bio11_temp";"bio16_prec";"bio17_prec";"ag_mosiac";"distance_high_pop";"hnd";"soilWater";"pH";"clay"
-4.383211;-70.031497;3.95046800508722;25.3219065514909;1043.12412406766;450.611218403664;0;220.426417957653;3.93324106066059;33.4522821576764;43.3278008298755;29.8838174273859
-3.102121;-60.024262;5.30279802921644;26.3426669672864;881.755090114759;284.726098156238;0;0;8.65440763235092;22.9541666666667;50.2666666666667;27.7083333333333
-3.27763;-60.631256;5.14076453946944;26.3064472651179;985.270571926638;283.636715544206;0;298.755186721992;9.68035915469335;27.396694214876;44.702479338843;32.2066115702479
-2.1982;-45.35815;7.23432551228055;26.0486844664535;1053.79842872728;43.1718475544657;0;5287.06248978491;4.69492834210396;29.4625;49;24.325
-32.523583;-52.548694;38.9827328763852;13.45;367.132067063485;269.416823698284;0.0104452034253887;20000;1.49364063387251;40.3385214007782;65.4980544747082;24.2140077821012
-19.853834;-43.994415;18.3487126146098;18.746543509103;899.125120858534;36.1880047772338;0.0808464052124023;348.53053373449;9.86159278916531;28.6475409836066;53.2295081967213;39.0409836065574
-19.336414;-43.124142;18.321933948475;18.6194513578984;845.902858651493;43.9237664348984;0.0675831914672851;20000;83.0753784807621;29.9341563786008;52.2633744855967;38.4444444444444
-19.468534;-42.536716;18.2329849973783;21.8442649314675;798.052976358317;38.9572706950713;0.0101294768676758;0;13.555804326886;25.5368852459016;62.3565573770492;30.4672131147541
-11.866007;-55.496292;5.69899931570354;24.55;1015.30736266223;20.3656052227063;0;266.420002913275;0.739956629177756;24.0165289256198;58.7396694214876;25.2603305785124
-21.134464;-44.259911;19.625439592507;17.2648041327275;853.723573435144;47.7966630868135;0.0215479404974246;0;67.2471525786353;24.1967213114754;55.6885245901639;35.3032786885246
-21.135105;-44.26403;19.6360335345504;17.2200553114795;864.066017758641;48.2944947111973;0.0176983499066521;0;58.6587117617248;24.0245901639344;55.0122950819672;35.5368852459016
-21.11201;-44.16547;19.6458558501741;17.4185035620735;748.302335671818;41.9538486405496;0.287877137484921;5566.17509765625;32.2292854277814;29;51.6926229508197;43.6311475409836
-21.235102;-45.753214;20.6576269459454;18.1643726682701;770.213429268704;55.3512572650792;0.247343601585957;0;13.2857858392059;22;53.9836065573771;31.5573770491803
-29.662996;-52.788734;38.9834820361062;14.4311513169321;482.363572925544;393.502514612531;0.398679603919418;202;3.0116931946297;38.0162601626016;52.7113821138211;30.4024390243902
-19.888463;-43.805294;18.4851278036732;18.5742879764526;773.399565990201;30.751349521113;0.0238163351751589;0;103.328955748042;28.7254098360656;55.7049180327869;36.8032786885246
